question_id,type,pipeline,question,expected_answer,answer,top_score,num_sources,latency_sec,judge_label,judge_reason
q001,in_domain,simple,When was Aventro Motors founded and where?,"Aventro Motors was founded in 2011 in Gurugram, Haryana.","Aventro Motors was founded in 2011 in Gurugram, Haryana.",0.8457,5,0.83,correct,Matches the expected answer exactly.
q001,in_domain,flexible,When was Aventro Motors founded and where?,"Aventro Motors was founded in 2011 in Gurugram, Haryana.","Aventro Motors was founded in 2011 in Gurugram, Haryana.",0.8457,5,0.741,correct,Matches the expected answer exactly.
q001,in_domain,advanced,When was Aventro Motors founded and where?,"Aventro Motors was founded in 2011 in Gurugram, Haryana.","Aventro Motors was founded in 2011 in Gurugram, Haryana.  Citations: [1] About Aventro Motors.docx (page unknown) [2] About Aventro Motors.docx (page unknown) [3] About Aventro Motors.docx (page unknown) [4] Aventro  Awards & Recognitions.md (page unknown) [5] About Aventro Motors.docx (page unknown)",0.8457,5,0.73,correct,Matches the expected answer exactly.
q002,in_domain,simple,Who is the Founder and CEO of Aventro Motors?,Amit Bansal,The Founder and CEO of Aventro Motors is Amit Bansal.,0.8271,5,0.75,correct,Matches the expected answer.
q002,in_domain,flexible,Who is the Founder and CEO of Aventro Motors?,Amit Bansal,The Founder and CEO of Aventro Motors is Amit Bansal.,0.8271,5,0.699,correct,Matches the expected answer.
q002,in_domain,advanced,Who is the Founder and CEO of Aventro Motors?,Amit Bansal,Amit Bansal  Citations: [1] About Aventro Motors.docx (page unknown) [2] About Aventro Motors.docx (page unknown) [3] About Aventro Motors.docx (page unknown) [4] Aventro  Awards & Recognitions.md (page unknown) [5] About Aventro Motors.docx (page unknown),0.8271,5,0.722,correct,Matches the expected answer exactly.
q003,in_domain,simple,What sensors does Adaptive Cruise Control use to detect vehicles ahead?,"Radar sensors, lidar sensors or cameras, and an ECU (Electronic Control Unit).","Adaptive Cruise Control uses Radar Sensors, which are typically mounted in the grille or front bumper, to detect vehicles ahead and measure their speed and distance. Some systems also use Lidar Sensors or Cameras for enhanced object detection and lane tracking.",0.9084,5,0.834,incomplete,The answer omitted the ECU component.
q003,in_domain,flexible,What sensors does Adaptive Cruise Control use to detect vehicles ahead?,"Radar sensors, lidar sensors or cameras, and an ECU (Electronic Control Unit).",Adaptive Cruise Control uses **Radar Sensors** (typically mounted in the grille or front bumper) to detect vehicles ahead and measure their speed and distance. Some systems also use **Lidar Sensors or Cameras** for enhanced object detection.,0.9084,5,0.801,incomplete,The answer omitted the ECU component.
q003,in_domain,advanced,What sensors does Adaptive Cruise Control use to detect vehicles ahead?,"Radar sensors, lidar sensors or cameras, and an ECU (Electronic Control Unit).","Adaptive Cruise Control uses Radar Sensors, which are typically mounted in the grille or front bumper, to detect vehicles ahead and measure their speed and distance. Some systems also use Lidar Sensors or Cameras for enhanced object detection and lane tracking.  Citations: [1] Adaptive Cruise Control (ACC).docx (page unknown) [2] Adaptive Cruise Control (ACC).docx (page unknown) [3] Adaptive Cruise Control (ACC).docx (page unknown) [4] Adaptive Cruise Control (ACC).docx (page unknown) [5] Adapti",0.9084,5,2.916,incomplete,The answer omitted the ECU component mentioned in the expected answer.
q004,in_domain,simple,What are the advantages of Adaptive Cruise Control?,"Safety (reduces risk of rear-end collisions), Convenience (less driver fatigue on long trips and in traffic jams), and Efficiency (optimized speed and braking can improve fuel economy).","Based on the provided context, the advantages of Adaptive Cruise Control (ACC) are:  *   **Safety:** It reduces the risk of rear-end collisions. *   **Convenience:** It reduces driver fatigue during long trips and in traffic jams. *   **Efficiency:** Optimized speed and braking can improve fuel economy.",0.9246,5,8.08,correct,The answer matches all key points of the expected answer.
q004,in_domain,flexible,What are the advantages of Adaptive Cruise Control?,"Safety (reduces risk of rear-end collisions), Convenience (less driver fatigue on long trips and in traffic jams), and Efficiency (optimized speed and braking can improve fuel economy).","Based on the context provided, the advantages of Adaptive Cruise Control (ACC) are:  *   **Safety:** It reduces the risk of rear-end collisions. *   **Convenience:** It reduces driver fatigue during long trips and in traffic jams. *   **Efficiency:** Optimized speed and braking can improve fuel economy.",0.9246,5,7.38,correct,Matches all key points of the expected answer.
q004,in_domain,advanced,What are the advantages of Adaptive Cruise Control?,"Safety (reduces risk of rear-end collisions), Convenience (less driver fatigue on long trips and in traffic jams), and Efficiency (optimized speed and braking can improve fuel economy).","Based on the provided context, the advantages of Adaptive Cruise Control (ACC) are:  *   **Safety:** It reduces the risk of rear-end collisions. *   **Convenience:** It reduces driver fatigue during long trips and in traffic jams. *   **Efficiency:** Optimized speed and braking can improve fuel economy.  Citations: [1] Adaptive Cruise Control (ACC).docx (page unknown) [2] Adaptive Cruise Control (ACC).docx (page unknown) [3] Adaptive Cruise Control (ACC).docx (page unknown) [4] Adaptive Cruise C",0.9246,5,7.288,correct,The answer fully matches the expected advantages of Adaptive Cruise Control.
q005,in_domain,simple,What is the ideal backrest angle when adjusting the seat?,"Slightly reclined for comfort, but never more than 30 degrees from upright.","The ideal angle is slightly reclined for comfort, but never more than 30° from upright.",0.8745,5,9.153,correct,Matches the expected answer exactly.
